Rank,Release Group,Movie_id,Worldwide,Domestic
1,Barbie,gr629756421,1445638421,636238421
2,The Super Mario Bros. Movie,gr2226213381,1361998849,574934330
3,Oppenheimer,gr531714565,960428540,329862540
4,Guardians of the Galaxy Vol. 3,gr1455378949,845555777,358995815
5,Fast X,gr1410486789,704875015,146126015
6,Spider-Man: Across the Spider-Verse,gr3501150725,690615475,381311319
7,Wonka,gr851071493,632232201,218332201
8,The Little Mermaid,gr951210501,569626289,298172056
9,Mission: Impossible - Dead Reckoning Part One,gr2916700677,567535383,172135383
10,Elemental,gr1501975045,496444308,154426697
11,Ant-Man and the Wasp: Quantumania,gr1371492869,476071180,214504909
12,John Wick: Chapter 4,gr1684427269,440157245,187131806
13,Transformers: Rise of the Beasts,gr2443334149,438966392,157066392
14,Aquaman and the Lost Kingdom,gr1898140165,434381226,124481226
15,Meg 2: The Trench,gr864768517,397700317,82600317
16,Indiana Jones and the Dial of Destiny,gr152719877,383963057,174480468
17,The Hunger Games: The Ballad of Songbirds & Snakes,gr25776645,337371917,166350594
18,Five Nights at Freddy's,gr681202181,291493620,137275620
19,Migration,gr906973701,289476570,127050570
20,Creed III,gr951472645,276148615,156248615
21,The Flash,gr3366801925,271333313,108133313
22,The Nun II,gr2542555653,269467073,86267073
23,Taylor Swift: The Eras Tour,gr4238103045,261656269,180756269
24,Wish,gr397365765,254410448,63973821
25,Sound of Freedom,gr3549975045,250570396,184178046
26,Napoleon,gr2577027589,220988915,61524375
27,Anyone But You,gr865686021,216872571,88248998
28,Dungeons & Dragons: Honor Among Thieves,gr2102612485,208177026,93277026
29,Trolls Band Together,gr1287148037,207969507,102996915
30,The Marvels,gr2275561989,206112932,84500223
31,PAW Patrol: The Mighty Movie,gr1018188293,202231360,65231360
32,The Equalizer 3,gr2072596997,191067560,92373751
33,Insidious: The Red Door,gr4019016197,189086877,82156962
34,Teenage Mutant Ninja Turtles: Mutant Mayhem,gr465457669,180513586,118613586
35,The Boy and the Heron,gr614355461,173022650,46500579
36,Scream VI,gr3297399301,168961389,108161389
37,Killers of the Flower Moon,gr3466220037,157026901,68026901
38,Evil Dead Rise,gr2525778437,147033054,67233054
39,The Exorcist: Believer,gr1974686213,136279558,65537395
40,Shazam! Fury of the Gods,gr3702346245,134038006,57638006
41,Blue Beetle,gr414601733,130788072,72488072
42,A Haunting in Venice,gr1753371141,122290456,42471412
43,Gran Turismo,gr1569673733,122101055,44428554
44,Haunted Mansion,gr3784004101,117449790,67653287
45,Poor Things,gr1100567045,114912799,34553225
46,Godzilla Minus One,gr2325631493,112795473,56418793
47,Pathaan,gr3917500933,112583450,17487476
48,Saw X,gr3817624069,111820053,53607898
49,Detective Conan: Black Iron Submarine,gr3550040581,106771806,-
50,The Creator,gr1401901573,104272136,40774679
51,12.12: The Day,gr2240827909,97476565,-
52,Animal,gr3666956805,92870227,15004482
53,Talk to Me,gr3181072901,92039206,48299436
54,Air,gr2778354181,90060106,52460106
55,Cocaine Bear,gr445207045,88314672,64670240
56,No Hard Feelings,gr42881541,87256407,50452282
57,The Roundup: No Way Out,gr2996326917,83410298,909411
58,The Pope's Exorcist,gr3968684549,76987621,20009380
59,Plane,gr3733869061,74515586,32111181
60,Titanic 25 Year Anniversary,gr3800912389,70157472,15033795
61,The Color Purple,gr3334099461,67519191,60619191
62,The Boogeyman,gr2827309573,67307243,43244282
63,Frozen 2023 Re-release (Sing -A-Long),gr2391953925,62846398,-
64,65,gr2646495749,60730568,32062904
65,Magic Mike's Last Dance,gr2693026309,57105156,26005156
66,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,gr3699659269,56318221,10117806
67,The Boys in the Boat,gr3969864197,55410536,52641306
68,Knock at the Cabin,gr4222636549,54760947,35397980
69,Mummies,gr1334268421,54475970,4275970
70,Jesus Revolution,gr764367365,54295801,52102987
71,Asteroid City,gr797397509,53857743,28153025
72,Operation Fortune: Ruse de Guerre,gr2763805189,48983306,6496125
73,Missing,gr2508411397,48767848,32502025
74,Thanksgiving,gr2660913669,46553280,31908884
